@relation dataset

@attribute buying {vhigh, high, med, low}
@attribute maint {vhigh, high, med, low}
@attribute doors {2, 3, 4, 5more}
@attribute persons {2, 4, more}
@attribute lug_boot {small, med, big}
@attribute safety {low, med, high}
@attribute class {unacc, acc, good, vgood}


@data

?,vhigh,?,?,?,low,?
?,?,?,2,small,?,?
vhigh,vhigh,2,2,small,high,unacc
vhigh,?,?,?,med,?,unacc
vhigh,?,?,?,?,?,unacc
?,vhigh,2,2,med,high,unacc
vhigh,vhigh,?,?,big,?,unacc
?,vhigh,?,?,big,?,unacc
?,?,?,?,?,high,?
vhigh,?,2,4,?,low,?
vhigh,vhigh,?,4,small,med,unacc
vhigh,?,?,4,?,high,unacc
?,?,?,?,?,?,?
?,?,?,?,med,?,unacc
?,?,2,?,med,?,unacc
?,?,2,?,big,?,unacc
?,?,2,4,?,?,unacc
?,vhigh,?,?,?,high,?
?,?,?,?,small,?,unacc
?,vhigh,?,more,?,med,?
?,?,2,?,?,?,?
?,vhigh,?,?,med,?,?
?,vhigh,?,?,?,?,?
vhigh,vhigh,?,more,?,?,unacc
?,vhigh,?,more,big,low,unacc
?,?,?,more,big,med,unacc
?,?,2,?,big,high,?
?,?,3,?,small,low,?
vhigh,vhigh,?,?,small,med,unacc
?,?,3,?,small,high,?
vhigh,vhigh,?,?,med,?,?
?,?,?,?,?,?,?
?,?,?,2,?,high,unacc
?,?,?,?,?,low,unacc
vhigh,?,3,?,big,med,unacc
?,?,3,2,?,?,unacc
vhigh,?,3,?,?,?,?
?,?,?,?,?,med,unacc
vhigh,?,?,?,small,high,unacc
?,vhigh,3,?,?,?,?
vhigh,?,?,?,med,?,unacc
?,vhigh,3,?,?,?,?
?,?,?,4,?,?,?
?,vhigh,?,4,?,med,?
?,?,?,?,?,high,?
vhigh,?,?,?,?,?,unacc
?,?,?,more,small,?,?
?,vhigh,?,more,?,?,unacc
vhigh,vhigh,?,more,?,low,?
vhigh,?,?,?,?,med,unacc
?,vhigh,?,?,med,high,unacc
?,?,?,more,?,?,?
?,?,3,more,?,?,?
?,?,?,more,?,?,unacc
?,vhigh,?,2,small,low,?
vhigh,vhigh,?,?,?,?,unacc
vhigh,?,?,?,?,?,?
?,?,?,?,?,?,?
?,vhigh,?,?,?,?,?
?,vhigh,?,?,med,?,?
vhigh,vhigh,4,2,big,?,unacc
?,?,4,?,big,med,?
?,vhigh,?,2,?,high,?
?,?,?,4,?,low,unacc
?,?,?,?,?,?,?
?,?,?,4,?,high,unacc
?,?,4,?,?,low,?
?,?,4,4,?,?,?
?,vhigh,?,4,?,high,?
?,?,?,4,?,?,unacc
?,?,4,?,big,med,unacc
vhigh,vhigh,?,?,?,high,unacc
?,?,?,?,?,?,?
vhigh,?,?,?,small,med,unacc
?,vhigh,4,?,small,high,unacc
vhigh,vhigh,?,?,med,?,unacc
?,?,?,more,?,?,?
?,vhigh,4,?,med,?,unacc
?,?,?,?,?,low,unacc
vhigh,vhigh,?,more,?,?,unacc
?,?,?,?,?,?,?
?,vhigh,?,?,small,?,?
?,?,?,?,small,med,?
?,vhigh,?,?,?,high,?
vhigh,?,5more,?,?,low,?
?,vhigh,5more,2,?,?,?
vhigh,vhigh,?,?,med,high,unacc
?,vhigh,?,?,big,low,unacc
?,vhigh,?,2,?,?,?
?,vhigh,?,2,?,high,?
?,?,5more,?,?,low,?
?,?,5more,?,?,?,?
?,vhigh,?,4,small,high,unacc
?,vhigh,?,4,?,?,unacc
vhigh,?,?,?,med,med,?
vhigh,?,5more,?,med,?,?
?,?,?,?,big,?,unacc
?,?,5more,?,?,?,?
vhigh,?,?,?,?,?,?
?,vhigh,5more,more,small,?,unacc
vhigh,?,5more,?,?,med,?
vhigh,?,5more,more,small,high,unacc
?,?,5more,more,med,?,?
vhigh,vhigh,?,more,?,?,unacc
